CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
LANSING, MI;1,61;1,45;2,33;3,09;2,71;3,6;2,68;3,46;3,48;2,29;2,66;2,17
LAS VEGAS, NV;0,59;0,69;0,59;0,15;0,24;0,08;0,44;0,45;0,31;0,24;0,31;0,4
LEWISTON, ID;1,14;0,95;1,12;1,3;1,56;1,16;0,72;0,75;0,8;0,96;1,21;1,05
LEXINGTON, KY;3,34;3,27;4,41;3,67;4,78;4,58;4,8;3,77;3,11;2,7;3,44;4,03
LIHUE, HI;4,59;3,26;3,58;3;2,87;1,82;2,12;1,91;2,69;4,25;4,7;4,78
LINCOLN, NE;0,67;0,66;2,21;2,9;4,23;3,51;3,54;3,35;2,92;1,94;1,58;0,86
LITTLE ROCK, AR;3,61;3,33;4,88;5,47;5,05;3,95;3,31;2,93;3,71;4,25;5,73;4,71
LONG BEACH, CA;2,95;3,01;2,43;0,6;0,23;0,08;0,02;0,1;0,24;0,4;1,12;1,76
LOS ANGELES AP, CA;2,98;3,11;2,4;0,63;0,24;0,08;0,03;0,14;0,26;0,36;1,13;1,79
LOS ANGELES C.O., CA;3,33;3,68;3,14;0,83;0,31;0,06;0,01;0,13;0,32;0,37;1,05;1,91
LOUISVILLE, KY;3,28;3,25;4,41;3,91;4,88;3,76;4,3;3,41;3,05;2,79;3,8;3,69
LUBBOCK, TX;0,5;0,71;0,76;1,29;2,31;2,98;2,13;2,35;2,57;1,7;0,71;0,67
LYNCHBURG, VA;3,54;3,1;3,83;3,46;4,11;3,79;4,39;3,41;3,88;3,39;3,18;3,23
MACON, GA;5;4,55;4,89;3,14;2,98;3,54;4,32;3,79;3,26;2,37;3,22;3,93
MADISON, WI;1,25;1,28;2,28;3,35;3,25;4,05;3,93;4,33;3,08;2,18;2,31;1,66
MAJURO, PC;8,09;6,86;8,43;11,3;11,53;11,09;12,41;11,95;11,96;13,73;12,81;11,5
MANSFIELD, OH;2,63;2,17;3,36;4,17;4,42;4,52;4,22;4,6;3,44;2,68;3,76;3,26
MARQUETTE, MI;2,6;1,85;3,13;2,79;3,07;3,21;3,01;3,55;3,74;3,66;3,27;2,43
MCGRATH, AK;1,04;0,74;0,81;0,66;1,02;1,45;2,32;2,75;2,36;1,46;1,46;1,44
MEDFORD, OR;2,47;2,1;1,85;1,31;1,21;0,68;0,31;0,52;0,78;1,31;2,93;2,9
MEMPHIS, TN;4,24;4,31;5,58;5,79;5,15;4,3;4,22;3;3,31;3,31;5,76;5,68
MERIDIAN, MS;5,92;5,35;6,93;5,62;4,87;3,99;5,45;3,34;3,64;3,28;4,95;5,31
MIAMI, FL;1,88;2,07;2,56;3,36;5,52;8,54;5,79;8,63;8,38;6,19;3,43;2,18
MIDLAND-ODESSA, TX;0,53;0,58;0,42;0,73;1,79;1,71;1,89;1,77;2,31;1,77;0,65;0,65
MILFORD, UT;0,73;0,77;1,21;0,99;0,94;0,44;0,76;1,04;0,92;1,12;0,77;0,58
MILWAUKEE, WI;1,85;1,65;2,59;3,78;3,06;3,56;3,58;4,03;3,3;2,49;2,7;2,22
MINNEAPOLIS-ST.PAUL, MN;1,04;0,79;1,86;2,31;3,24;4,34;4,04;4,05;2,69;2,11;1,94;1
MISSOULA, MT;1,06;0,77;0,96;1,09;1,95;1,73;1,09;1,15;1,08;0,83;0,96;1,15
MOBILE, AL;5,75;5,1;7,2;5,06;6,1;5,01;6,54;6,2;6,01;3,25;5,41;4,66
MOLINE, IL;1,58;1,51;2,92;3,82;4,25;4,63;4,03;4,41;3,16;2,8;2,73;2,2
